room number,price,room type,quality,number of beds,clean,smoke,avaliablity
1000,70,vintage,comfort,1,TRUE,TRUE,TRUE
1001,70,urban,comfort,1,TRUE,FALSE,TRUE
1002,200,vintage,executive,2,TRUE,TRUE,TRUE
1003,150,urban,business,2,TRUE,TRUE,TRUE
1004,100,nature,economy,1,TRUE,TRUE,TRUE
1005,150,urban,business,2,TRUE,FALSE,TRUE
1006,150,urban,business,4,TRUE,TRUE,TRUE
1007,100,vintage,economy,2,TRUE,TRUE,TRUE
1008,70,vintage,comfort,4,TRUE,TRUE,TRUE
1009,100,vintage,economy,3,TRUE,TRUE,TRUE
1010,200,urban,executive,2,TRUE,TRUE,TRUE
1011,200,nature,executive,2,TRUE,FALSE,TRUE
1012,150,urban,business,4,TRUE,FALSE,TRUE
1013,200,vintage,executive,4,TRUE,TRUE,TRUE
1014,70,nature,comfort,3,TRUE,TRUE,TRUE
1015,100,nature,economy,2,TRUE,TRUE,TRUE
1016,150,urban,business,2,TRUE,TRUE,TRUE
1017,70,nature,comfort,3,TRUE,TRUE,TRUE
1018,150,nature,business,4,TRUE,TRUE,TRUE
1019,100,nature,economy,2,TRUE,FALSE,TRUE
2000,150,urban,business,3,TRUE,TRUE,TRUE
2001,70,nature,comfort,3,TRUE,TRUE,TRUE
2002,150,nature,business,4,TRUE,TRUE,TRUE
2003,150,urban,business,4,TRUE,FALSE,TRUE
2004,200,vintage,executive,1,TRUE,TRUE,TRUE
2005,70,nature,comfort,1,TRUE,TRUE,TRUE
2006,70,urban,comfort,3,TRUE,TRUE,TRUE
2007,150,nature,business,3,TRUE,TRUE,TRUE
2008,100,urban,economy,3,TRUE,TRUE,TRUE
2009,100,vintage,economy,3,TRUE,TRUE,TRUE
2010,70,vintage,comfort,2,TRUE,TRUE,TRUE
2011,100,vintage,economy,2,TRUE,FALSE,TRUE
2012,70,urban,comfort,3,TRUE,TRUE,TRUE
2013,200,nature,executive,2,TRUE,TRUE,TRUE
2014,100,vintage,economy,3,TRUE,FALSE,TRUE
2015,100,vintage,economy,1,TRUE,TRUE,TRUE
2016,70,vintage,comfort,3,TRUE,FALSE,TRUE
2017,200,vintage,executive,2,TRUE,TRUE,TRUE
2018,100,nature,economy,2,TRUE,FALSE,TRUE
2019,150,nature,business,4,TRUE,TRUE,TRUE
2020,150,nature,business,1,TRUE,TRUE,TRUE
3000,200,vintage,executive,2,TRUE,FALSE,TRUE
3001,100,vintage,economy,2,TRUE,TRUE,TRUE
3002,100,nature,economy,3,TRUE,TRUE,TRUE
3003,100,nature,economy,1,TRUE,TRUE,TRUE
3004,100,vintage,economy,3,TRUE,FALSE,TRUE
3005,70,vintage,comfort,3,TRUE,TRUE,TRUE
3006,100,nature,economy,2,TRUE,FALSE,TRUE
3007,100,vintage,economy,2,TRUE,TRUE,TRUE
3008,200,vintage,executive,1,TRUE,TRUE,TRUE
3009,100,vintage,economy,3,TRUE,TRUE,TRUE
3010,150,urban,business,1,TRUE,FALSE,TRUE
3011,150,vintage,business,1,TRUE,TRUE,TRUE
3012,70,urban,comfort,3,TRUE,TRUE,TRUE
3013,100,vintage,economy,1,TRUE,TRUE,TRUE
3014,150,vintage,business,3,TRUE,TRUE,TRUE
3015,70,urban,comfort,4,TRUE,TRUE,TRUE
3016,100,nature,economy,3,TRUE,TRUE,TRUE
3017,100,nature,economy,2,TRUE,FALSE,TRUE
3018,200,urban,executive,1,TRUE,FALSE,TRUE
3019,100,vintage,economy,2,TRUE,TRUE,TRUE
3020,150,nature,business,3,TRUE,FALSE,TRUE
